,KIC,group,ifpublish,ifradial,PTamp,PTeamp,PTlw,PTelw,PTfc,PTefc,PTlnK,PTelnK
170,1870433,2.0,1.0,1.0,3.3054,0.28415,0.1161,0.0297,216.1545,0.012,92.1929,1.9140000000000001
171,1870433,3.0,1.0,1.0,3.4011,0.26735,0.1444,0.0362,232.1929,0.01415,90.9465,1.8498
172,1870433,4.0,1.0,1.0,2.0136,0.2079,0.2819,0.09535,248.4381,0.0366,18.9525,1.6634
173,1871571,0.0,1.0,1.0,1.1684,0.17275,0.1655,0.0905,149.2548,0.02865,9.9789,1.8934
174,1871571,1.0,1.0,1.0,1.7132,0.1815,0.1454,0.0519,163.5436,0.0199,25.5373,1.8926
175,1871571,2.0,1.0,1.0,4.1317,0.48335,0.0546,0.0166,178.0106,0.0069,176.7793,2.2446
176,1871571,3.0,1.0,1.0,3.1919,0.2607,0.1289,0.0308,192.3448,0.0133,100.7893,1.9138
177,1871571,4.0,1.0,1.0,1.8808,0.19295,0.2697,0.09875,207.01,0.03385,16.9035,1.6325
178,1872375,1.0,1.0,1.0,1.1841,0.1716,0.3641,0.16445,77.643,0.0604,4.9006,1.2613
179,1872375,2.0,1.0,1.0,2.0679,0.17485,0.3997,0.12265,85.7252,0.0369,9.5274,1.3283
180,1872375,3.0,1.0,1.0,2.8683,0.19855,0.19899999999999998,0.045,94.0445,0.0174,42.676,1.7909
181,1872375,4.0,1.0,1.0,3.6686,0.2143,0.2734,0.0527,102.5834,0.0198,39.6826,1.7487
182,1872375,5.0,1.0,1.0,3.4006,0.1992,0.6218,0.0953,110.89299999999999,0.0439,10.2012,1.3512
183,1872375,6.0,1.0,1.0,2.7765,0.188,0.4992,0.11795,119.4845,0.03795,10.2894,1.3348
184,1872469,1.0,1.0,1.0,0.5983,0.18525,0.0539,0.14375,40.9087,0.03565,3.1774,1.3897
185,1872469,2.0,1.0,1.0,1.5353,0.15565,0.23399999999999999,0.07915,46.2703,0.02935,9.8496,1.2886
186,1872469,3.0,1.0,1.0,2.1763,0.2297,0.0764,0.02245,51.8917,0.00995,46.0635,1.8658
187,1872469,4.0,1.0,1.0,3.2131,0.2739,0.1063,0.02535,57.6323,0.01075,52.3905,1.8639
188,1872469,5.0,1.0,1.0,2.3538,0.1883,0.1617,0.0426,63.2869,0.01635,24.1923,1.7109
189,1872469,6.0,1.0,1.0,1.5264,0.17615,0.3948,0.09295,69.1154,0.0574,4.1816,1.1877
190,1872469,7.0,1.0,1.0,1.0524,0.177,0.2431,0.1436,75.0043,0.04165,2.3255,1.2571
191,1995668,0.0,1.0,1.0,2.0138,0.22535,0.569,0.26815,183.9065,0.06745,7.3573,1.2526
192,1995668,1.0,1.0,1.0,2.3263,0.1907,0.2924,0.08755,199.9487,0.0287,25.5216,1.6887
193,1995668,2.0,1.0,1.0,4.2087,0.3477,0.1134,0.02765,216.1738,0.01085,126.7804,2.0488
194,1995668,3.0,1.0,1.0,4.2999,0.34215,0.1214,0.02875,232.2594,0.0115,130.8915,2.0154
195,1995668,4.0,1.0,1.0,2.917,0.2109,0.3107,0.07425,248.533,0.0291,36.1129,1.6457
196,1995668,5.0,1.0,1.0,1.8653,0.26275,0.5228,0.2662,264.9171,0.0805,6.2047,1.2409
197,1996415,1.0,1.0,1.0,1.7709,0.1876,0.6989,0.1898,100.0547,0.0742,1.1859,1.1869
198,1996415,2.0,1.0,1.0,2.3595,0.1938,0.1588,0.0467,110.5072,0.01575,40.568000000000005,1.8344
199,1996415,3.0,1.0,1.0,4.1088,0.28875,0.1561,0.03095,121.3475,0.01285,100.4858,1.9424
200,1996415,4.0,1.0,1.0,4.0297,0.2603,0.1932,0.0387,132.0513,0.01525,76.5241,1.8571
201,1996415,5.0,1.0,1.0,2.8807,0.18115,0.3639,0.07765,142.9457,0.0286,29.8572,1.6096
202,2011891,0.0,1.0,1.0,1.3846,0.1749,0.4101,0.18205,80.7501,0.05555,3.5732,1.2429999999999999
203,2011891,1.0,1.0,1.0,1.7404,0.16945,0.4495,0.14715,90.0128,0.0523,8.9093,1.2526
204,2011891,2.0,1.0,1.0,2.7149,0.20005,0.18100000000000002,0.0459,99.5205,0.0162,41.8179,1.8398
205,2011891,3.0,1.0,1.0,5.7278,0.45015,0.1124,0.0227,109.3054,0.0099,141.3351,2.1043
206,2011891,4.0,1.0,1.0,4.7792,0.2719,0.2346,0.0407,118.9338,0.0163,71.4687,1.8591
207,2011891,5.0,1.0,1.0,3.0717,0.1887,0.5046,0.10995,128.787,0.03645,16.7075,1.4074
208,2011891,6.0,1.0,1.0,2.0136,0.1849,0.3989,0.14115,138.8536,0.0395,9.0768,1.2985
209,2011891,7.0,1.0,0.0,1.5776,0.1957,0.7020000000000001,0.13485,148.2605,0.1322,1.1686,1.1134
210,2012216,1.0,1.0,1.0,1.8922,0.1703,0.4876,0.13425,66.7198,0.0481,5.6279,1.2670000000000001
211,2012216,2.0,1.0,1.0,2.4509,0.2058,0.1428,0.0419,74.4425,0.0143,36.0679,1.8344
212,2012216,3.0,1.0,1.0,3.1659,0.2041,0.2622,0.0609,82.494,0.0201,28.5061,1.6962
213,2012216,4.0,1.0,1.0,4.6414,0.2862,0.2012,0.0374,90.5748,0.0148,59.4412,1.8453
214,2012216,5.0,1.0,1.0,3.4946,0.2039,0.2961,0.05855,98.6371,0.02145,32.4732,1.6954
215,2012216,6.0,1.0,1.0,1.3592,0.1767,0.3857,0.15825,115.3382,0.05685,3.9913,1.2262
216,2016978,0.0,1.0,1.0,1.0657,0.1652,0.1992,0.1285,59.196000000000005,0.03395,4.35,1.4053
217,2016978,1.0,1.0,1.0,1.4485,0.16745,0.09,0.02995,66.1543,0.01435,30.1947,1.8415
218,2016978,2.0,1.0,1.0,3.6487,0.2815,0.1268,0.02695,73.4352,0.01185,70.7585,1.8883
219,2016978,3.0,1.0,1.0,3.0988,0.20495,0.212,0.0425,80.585,0.0178,39.7349,1.7529
220,2016978,4.0,1.0,1.0,2.101,0.1648,0.2494,0.0654,87.9066,0.02485,18.9552,1.5306
221,2018283,0.0,1.0,1.0,1.0294,0.19545,0.3141,0.25835,93.0668,0.0632,1.5565,1.2177
222,2018283,1.0,1.0,1.0,1.4886,0.1745,0.2581,0.1136,103.917,0.03475,9.4599,1.5417
223,2018283,2.0,1.0,1.0,2.1013,0.19055,0.1621,0.05255,114.6823,0.01875,32.4721,1.7858
224,2018283,3.0,1.0,1.0,3.0496,0.2049,0.2378,0.0487,125.846,0.02045,51.8854,1.7825
225,2018283,4.0,1.0,1.0,4.2362,0.34795,0.1205,0.02795,137.00799999999998,0.01155,108.2457,1.9929
226,2018283,5.0,1.0,1.0,3.1262,0.2045,0.26899999999999996,0.0571,148.1665,0.0227,41.9859,1.7478
227,2018283,6.0,1.0,1.0,1.8969999999999998,0.19235,0.3893,0.1459,159.5108,0.0442,9.5717,1.3188
228,2018392,0.0,1.0,0.0,0.5196,0.17415,0.0981,0.12915,22.2852,0.0491,1.1468,1.1328
229,2018392,1.0,1.0,1.0,1.2322,0.1583,0.1499,0.0702,26.5341,0.02285,5.7739,1.3819
230,2018392,2.0,1.0,1.0,1.9431,0.18095,0.1261,0.0389,30.1098,0.0148,16.1981,1.5553
231,2018392,3.0,1.0,1.0,2.717,0.21595,0.1599,0.04365,33.9179,0.01585,16.1721,1.6338
232,2018392,4.0,1.0,1.0,2.8164,0.2107,0.2117,0.05425,37.6621,0.0194,11.7235,1.4348
233,2018392,5.0,1.0,1.0,1.892,0.17725,0.1995,0.06375,41.5428,0.0217,7.1895,1.3093
234,2018537,0.0,1.0,1.0,1.3128,0.18505,0.4338,0.20615,143.2137,0.07215,6.9114,1.3261
